n,r,eta,eta_tilde,seed,ck_mean_size,elapsed_time
8,2,0.03687450625387197,0.03687450625387197,1000,1.5,0:00:00.055257
8,2,0.03687450625387197,0.03687450625387197,1001,2.0,0:00:00.111864
8,2,0.03687450625387197,0.03687450625387197,1002,2.0,0:00:00.069297
8,2,0.03687450625387197,0.03687450625387197,1003,3.0,0:00:00.129076
8,2,0.03687450625387197,0.03687450625387197,1004,2.5,0:00:00.095379
8,2,0.03687450625387197,0.03687450625387197,1005,2.5,0:00:00.083167
8,2,0.03687450625387197,0.03687450625387197,1006,3.0,0:00:00.136572
8,2,0.03687450625387197,0.03687450625387197,1007,2.5,0:00:00.116088
8,2,0.03687450625387197,0.03687450625387197,1008,3.0,0:00:00.145855
8,2,0.03687450625387197,0.03687450625387197,1009,2.0,0:00:00.065729
8,2,0.03687450625387197,0.04660304659474195,1000,2.5,0:00:00.115511
8,2,0.03687450625387197,0.04660304659474195,1001,1.5,0:00:00.064651
8,2,0.03687450625387197,0.04660304659474195,1002,3.0,0:00:00.145746
8,2,0.03687450625387197,0.04660304659474195,1003,2.5,0:00:00.102958
8,2,0.03687450625387197,0.04660304659474195,1004,2.0,0:00:00.077842
8,2,0.03687450625387197,0.04660304659474195,1005,2.5,0:00:00.114641
8,2,0.03687450625387197,0.04660304659474195,1006,2.5,0:00:00.112051
8,2,0.03687450625387197,0.04660304659474195,1007,1.5,0:00:00.042815
8,2,0.03687450625387197,0.04660304659474195,1008,2.0,0:00:00.076718
8,2,0.03687450625387197,0.04660304659474195,1009,2.0,0:00:00.068485
8,2,0.06591441234324169,0.05633158693561193,1000,2.5,0:00:00.126440
8,2,0.06591441234324169,0.05633158693561193,1001,2.0,0:00:00.084173
8,2,0.06591441234324169,0.05633158693561193,1002,2.5,0:00:00.112306
8,2,0.06591441234324169,0.05633158693561193,1003,2.0,0:00:00.056790
8,2,0.06591441234324169,0.05633158693561193,1004,2.0,0:00:00.029658
8,2,0.06591441234324169,0.05633158693561193,1005,1.5,0:00:00.047974
8,2,0.06591441234324169,0.05633158693561193,1006,1.5,0:00:00.047096
8,2,0.06591441234324169,0.05633158693561193,1007,2.0,0:00:00.049865
8,2,0.06591441234324169,0.05633158693561193,1008,1.5,0:00:00.054674
8,2,0.06591441234324169,0.05633158693561193,1009,3.0,0:00:00.153077
8,2,0.06591441234324169,0.06606012727648192,1000,1.5,0:00:00.039512
8,2,0.06591441234324169,0.06606012727648192,1001,2.5,0:00:00.110646
8,2,0.06591441234324169,0.06606012727648192,1002,2.0,0:00:00.074029
8,2,0.06591441234324169,0.06606012727648192,1003,2.0,0:00:00.067844
8,2,0.06591441234324169,0.06606012727648192,1004,2.0,0:00:00.079660
8,2,0.06591441234324169,0.06606012727648192,1005,2.5,0:00:00.122680
